Designator,Value,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805,52.3,-68.9,270,top
C2,10uF,C_0805,46.55,-70.2,180,top
C3,10uF,C_0603,60.75,-64.15,90,top
C4,100nF,C_0402,60,-67.15,90,top
C5,100nF,C_0402,63.55,-79.175,180,top
C6,100nF,C_0402,63.55,-80.175,180,top
C7,100nF,C_0402,72.570719,-79.971942,0,top
C8,100nF,C_0402,72.570719,-78.971942,0,top
C9,100nF,C_0402,75,-66.25,90,top
C10,100nF,C_0402,74,-66.25,90,top
C11,100nF,C_0402,63.55,-64.9,0,top
C12,100nF,C_0402,63.55,-63.9,0,top
C13,12pF,C_0402,56.75,-67.6,0,top
C14,12pF,C_0402,56.75,-73,180,top
C15,100nF,C_0402,58.8,-74.05,90,top
C16,10nF,C_0402,59.9,-74.05,90,top
C17,2.2uF,C_0603,70.25,-80.05,270,top
C18,2.2uF,C_0603,75.4,-68.55,0,top
D1,B5819W,D_SOD-123,51.5,-81,270,top
D2,Green,LED_0603,54.127,-59.75,180,top
D3,Blue,LED_0603,75.65,-75.75,180,top
F1,500mA,Fuse_SMD1206_Wave,50,-75.6,90,top
FB1,100 @ 100Mhz,L_0805,50,-70.9,270,top
FB2,100 @ 100Mhz,L_0805,57.85,-76.3,180,top
HSE1,16MHz,Crystal_SMD_3225-4pin_3.2x2.5mm,56.75,-70.3,270,top
R1,2k2,R_0603,54.2,-61.782,0,top
R2,220,R_0402,59.45,-71,180,top
R3,2k2,R_0603,64.95,-60.85,180,top
R4,2k2,R_0603,67.5,-60.85,0,top
R5,10k,R_0402,65.1,-64.5,90,top
R6,10k,R_0402,68.75,-79.45,270,top
R7,2k2,R_0603,75.7,-77.4,0,top
U1,AMS1117-3.3,SOT-223-3_TabPin2,47.7,-64.7,270,top
U2,STM32F405RGT6,LQFP-64_10x10mm_Pitch0.5mm,67,-72,270,top